(0, 0, 5, 7)
(0, 1, 8, 6)
(0, 2, 19, 2)
(0, 3, 24, 6)
(0, 4, 24, 4)
(0, 5, 6, 5)
(0, 6, 16, 2)
(0, 7, 13, 3)
(1, 0, 28, 0)
(1, 1, 16, 0)
(1, 2, 29, 7)
(1, 3, 5, 3)
(1, 4, 11, 4)
(1, 5, 5, 4)
(1, 6, 13, 4)
(1, 7, 20, 6)
(2, 0, 8, 1)
(2, 1, 0, 1)
(2, 2, 11, 2)
(2, 3, 7, 6)
(2, 4, 10, 0)
(2, 5, 0, 3)
(2, 6, 5, 5)
(2, 7, 9, 4)
(3, 0, 6, 2)
(3, 1, 20, 2)
(3, 2, 25, 7)
(3, 3, 25, 3)
(3, 4, 27, 5)
(3, 5, 22, 7)
(3, 6, 23, 4)
(3, 7, 12, 2)
(4, 0, 21, 6)
(4, 1, 17, 3)
(4, 2, 15, 7)
(4, 3, 31, 2)
(4, 4, 0, 5)
(4, 5, 13, 6)
(4, 6, 23, 6)
(4, 7, 31, 6)
(5, 0, 26, 0)
(5, 1, 3, 2)
(5, 2, 5, 6)
(5, 3, 0, 6)
(5, 4, 9, 3)
(5, 5, 7, 0)
(5, 6, 6, 3)
(5, 7, 6, 7)
(6, 0, 30, 1)
(6, 1, 23, 1)
(6, 2, 2, 2)
(6, 3, 14, 7)
(6, 4, 31, 0)
(6, 5, 18, 0)
(6, 6, 16, 4)
(6, 7, 9, 6)
(7, 0, 22, 1)
(7, 1, 28, 4)
(7, 2, 24, 2)
(7, 3, 5, 2)
(7, 4, 9, 5)
(7, 5, 2, 6)
(7, 6, 10, 7)
(7, 7, 7, 1)
(8, 0, 15, 4)
(8, 1, 7, 5)
(8, 2, 1, 6)
(8, 3, 6, 6)
(8, 4, 15, 0)
(8, 5, 23, 2)
(8, 6, 23, 0)
(8, 7, 14, 4)
(9, 0, 30, 0)
(9, 1, 3, 6)
(9, 2, 28, 6)
(9, 3, 27, 2)
(9, 4, 14, 6)
(9, 5, 20, 0)
(9, 6, 1, 2)
(9, 7, 2, 5)
(10, 0, 11, 5)
(10, 1, 25, 4)
(10, 2, 17, 0)
(10, 3, 26, 3)
(10, 4, 28, 1)
(10, 5, 5, 1)
(10, 6, 11, 0)
(10, 7, 13, 1)
(11, 0, 18, 6)
(11, 1, 6, 4)
(11, 2, 1, 0)
(11, 3, 22, 4)
(11, 4, 22, 2)
(11, 5, 1, 3)
(11, 6, 18, 1)
(11, 7, 4, 7)
(12, 0, 27, 6)
(12, 1, 0, 4)
(12, 2, 0, 0)
(12, 3, 24, 7)
(12, 4, 30, 5)
(12, 5, 30, 6)
(12, 6, 4, 0)
(12, 7, 4, 1)
(13, 0, 23, 7)
(13, 1, 3, 4)
(13, 2, 25, 5)
(13, 3, 14, 0)
(13, 4, 14, 5)
(13, 5, 11, 7)
(13, 6, 13, 5)
(13, 7, 7, 2)
(14, 0, 20, 3)
(14, 1, 12, 7)
(14, 2, 21, 5)
(14, 3, 30, 7)
(14, 4, 2, 4)
(14, 5, 7, 4)
(14, 6, 12, 0)
(14, 7, 16, 5)
(15, 0, 12, 1)
(15, 1, 22, 6)
(15, 2, 11, 3)
(15, 3, 29, 3)
(15, 4, 13, 2)
(15, 5, 26, 1)
(15, 6, 15, 1)
(15, 7, 20, 7)
(16, 0, 6, 1)
(16, 1, 26, 5)
(16, 2, 5, 0)
(16, 3, 0, 7)
(16, 4, 21, 1)
(16, 5, 16, 7)
(16, 6, 24, 3)
(16, 7, 26, 4)
(17, 0, 0, 2)
(17, 1, 3, 1)
(17, 2, 7, 3)
(17, 3, 3, 0)
(17, 4, 14, 1)
(17, 5, 8, 0)
(17, 6, 1, 4)
(17, 7, 3, 5)
(18, 0, 21, 2)
(18, 1, 1, 5)
(18, 2, 24, 5)
(18, 3, 9, 7)
(18, 4, 12, 3)
(18, 5, 26, 6)
(18, 6, 25, 6)
(18, 7, 21, 0)
(19, 0, 14, 3)
(19, 1, 16, 1)
(19, 2, 27, 7)
(19, 3, 10, 1)
(19, 4, 27, 0)
(19, 5, 31, 3)
(19, 6, 25, 1)
(19, 7, 21, 4)
(20, 0, 26, 2)
